street,city,state,zip,full_address,price,beds,baths,sqft,lot_sqft,year_built,listing_url
4560 E Sunrise Dr,Phoenix,AZ,85044,"4560 E Sunrise Dr, Phoenix, AZ 85044",$0,0,0,0,,,https://www.zillow.com/homedetails/4560-E-Sunrise-Dr-Phoenix-AZ-85044/8142157_zpid/
5219 W El Caminito Dr,Glendale,AZ,85302,"5219 W El Caminito Dr, Glendale, AZ 85302",$0,0,0,0,,,https://www.zillow.com/homedetails/5219-W-El-Caminito-Dr-Glendale-AZ-85302/7732614_zpid/
5038 W Echo Ln,Glendale,AZ,85302,"5038 W Echo Ln, Glendale, AZ 85302",$0,0,0,0,,,https://www.zillow.com/homedetails/5038-W-Echo-Ln-Glendale-AZ-85302/7732171_zpid/
2011 E Gary Cir,Mesa,AZ,85213,"2011 E Gary Cir, Mesa, AZ 85213",$0,0,0,0,,,https://www.zillow.com/homedetails/2011-E-Gary-Cir-Mesa-AZ-85213/7658010_zpid/
7126 W Columbine Dr,Peoria,AZ,85381,"7126 W Columbine Dr, Peoria, AZ 85381",$0,0,0,0,,,https://www.zillow.com/homedetails/7126-W-Columbine-Dr-Peoria-AZ-85381/7913166_zpid/
7233 W Corrine Dr,Peoria,AZ,85381,"7233 W Corrine Dr, Peoria, AZ 85381",$0,0,0,0,,,https://www.zillow.com/homedetails/7233-W-Corrine-Dr-Peoria-AZ-85381/7913014_zpid/
8803 N 105th Dr,Peoria,AZ,85345,"8803 N 105th Dr, Peoria, AZ 85345",$0,0,0,0,,,https://www.zillow.com/homedetails/8803-N-105th-Dr-Peoria-AZ-85345/7687610_zpid/
4209 W Wahalla Ln,Glendale,AZ,85308,"4209 W Wahalla Ln, Glendale, AZ 85308",$0,0,0,0,,,https://www.zillow.com/homedetails/4209-W-Wahalla-Ln-Glendale-AZ-85308/59266234_zpid/
